pred_decile,mean_pred,mean_actual,count
0,-0.04077493,0.0,15
1,0.02638624,0.0,14
2,0.0821955,0.0,14
3,0.14701477,0.07142857142857142,14
4,0.18985127,0.21428571428571427,14
5,0.2515003,0.07142857142857142,14
6,0.31526104,0.42857142857142855,14
7,0.38787898,0.2857142857142857,14
8,0.5091249,0.7142857142857143,14
9,0.8566555,1.0666666666666667,15
